I (414) example: Throttle: 0 | Pitch: -6.14
I (11154) example: Throttle: 480 | Pitch: -5.76
I (11164) example: Throttle: 480 | Pitch: -6.14
I (11174) example: Throttle: 480 | Pitch: -6.10
I (11184) example: Throttle: 480 | Pitch: -6.02
I (11194) example: Throttle: 480 | Pitch: -6.26
I (11204) example: Throttle: 480 | Pitch: -6.27
I (11214) example: Throttle: 490 | Pitch: -4.95
I (11224) example: Throttle: 490 | Pitch: -5.58
I (11234) example: Throttle: 490 | Pitch: -5.63
I (11244) example: Throttle: 490 | Pitch: -4.75
I (11254) example: Throttle: 490 | Pitch: -5.13
I (11264) example: Throttle: 490 | Pitch: -5.24
I (11274) example: Throttle: 490 | Pitch: -4.62
I (11284) example: Throttle: 490 | Pitch: -5.04
I (11294) example: Throttle: 490 | Pitch: -5.68
I (11304) example: Throttle: 490 | Pitch: -5.01
I (11314) example: Throttle: 490 | Pitch: -5.48
I (11324) example: Throttle: 490 | Pitch: -5.43
I (11334) example: Throttle: 490 | Pitch: -4.91
I (11344) example: Throttle: 490 | Pitch: -5.52
I (11354) example: Throttle: 490 | Pitch: -5.42
I (11364) example: Throttle: 490 | Pitch: -5.00
I (11374) example: Throttle: 490 | Pitch: -5.96
I (11384) example: Throttle: 490 | Pitch: -5.96
I (11394) example: Throttle: 490 | Pitch: -4.76
I (11404) example: Throttle: 490 | Pitch: -5.27
I (11414) example: Throttle: 500 | Pitch: -5.25
I (11424) example: Throttle: 500 | Pitch: -4.68
I (11434) example: Throttle: 500 | Pitch: -5.16
I (11444) example: Throttle: 500 | Pitch: -4.99
I (11454) example: Throttle: 500 | Pitch: -4.63
I (11464) example: Throttle: 500 | Pitch: -5.44
I (11474) example: Throttle: 500 | Pitch: -5.36
I (11484) example: Throttle: 500 | Pitch: -4.65
I (11494) example: Throttle: 500 | Pitch: -5.32
I (11504) example: Throttle: 500 | Pitch: -4.88
I (11514) example: Throttle: 500 | Pitch: -4.95
I (11524) example: Throttle: 500 | Pitch: -5.55
I (11534) example: Throttle: 500 | Pitch: -5.39
I (11544) example: Throttle: 500 | Pitch: -5.74
I (11554) example: Throttle: 500 | Pitch: -6.04
I (11564) example: Throttle: 500 | Pitch: -5.72
I (11574) example: Throttle: 500 | Pitch: -6.03
I (11584) example: Throttle: 500 | Pitch: -6.11
I (11594) example: Throttle: 500 | Pitch: -5.78
I (11604) example: Throttle: 500 | Pitch: -6.69
I (11614) example: Throttle: 510 | Pitch: -6.51
I (11624) example: Throttle: 510 | Pitch: -5.60
I (11634) example: Throttle: 510 | Pitch: -6.12
I (11644) example: Throttle: 510 | Pitch: -5.25
I (11654) example: Throttle: 510 | Pitch: -5.13
I (11664) example: Throttle: 510 | Pitch: -6.12
I (11674) example: Throttle: 510 | Pitch: -5.92
I (11684) example: Throttle: 510 | Pitch: -6.14
I (11694) example: Throttle: 510 | Pitch: -6.24
I (11704) example: Throttle: 510 | Pitch: -5.89
I (11714) example: Throttle: 510 | Pitch: -7.07
I (11724) example: Throttle: 510 | Pitch: -6.36
I (11734) example: Throttle: 510 | Pitch: -6.28
I (11744) example: Throttle: 510 | Pitch: -6.93
I (11754) example: Throttle: 510 | Pitch: -6.73
I (11764) example: Throttle: 510 | Pitch: -7.06
I (11774) example: Throttle: 510 | Pitch: -7.07
I (11784) example: Throttle: 510 | Pitch: -6.20
I (11794) example: Throttle: 510 | Pitch: -7.03
I (11804) example: Throttle: 510 | Pitch: -6.49
I (11814) example: Throttle: 520 | Pitch: -6.53
I (11824) example: Throttle: 520 | Pitch: -6.77
I (11834) example: Throttle: 520 | Pitch: -6.25
I (11844) example: Throttle: 520 | Pitch: -6.57
I (11854) example: Throttle: 520 | Pitch: -5.52
I (11864) example: Throttle: 520 | Pitch: -5.14
I (11874) example: Throttle: 520 | Pitch: -5.54
I (11884) example: Throttle: 520 | Pitch: -5.06
I (11894) example: Throttle: 520 | Pitch: -5.38
I (11904) example: Throttle: 520 | Pitch: -4.94
I (11914) example: Throttle: 520 | Pitch: -5.49
I (11924) example: Throttle: 520 | Pitch: -5.64
I (11934) example: Throttle: 520 | Pitch: -5.33
I (11944) example: Throttle: 520 | Pitch: -6.31
I (11954) example: Throttle: 520 | Pitch: -6.00
I (11964) example: Throttle: 520 | Pitch: -6.28
I (11974) example: Throttle: 520 | Pitch: -6.30
I (11984) example: Throttle: 520 | Pitch: -6.01
I (11994) example: Throttle: 520 | Pitch: -6.86
I (12004) example: Throttle: 520 | Pitch: -6.22
I (12014) example: Throttle: 530 | Pitch: -6.49
I (12024) example: Throttle: 530 | Pitch: -6.48
I (12034) example: Throttle: 530 | Pitch: -6.25
I (12044) example: Throttle: 530 | Pitch: -7.02
I (12054) example: Throttle: 530 | Pitch: -6.50
I (12064) example: Throttle: 530 | Pitch: -6.87
I (12074) example: Throttle: 530 | Pitch: -6.72
I (12084) example: Throttle: 530 | Pitch: -6.05
I (12094) example: Throttle: 530 | Pitch: -6.35
I (12104) example: Throttle: 530 | Pitch: -6.12
I (12114) example: Throttle: 530 | Pitch: -7.04
I (12124) example: Throttle: 530 | Pitch: -6.43
I (12134) example: Throttle: 530 | Pitch: -6.90
I (12144) example: Throttle: 530 | Pitch: -6.73
I (12154) example: Throttle: 530 | Pitch: -6.53
I (12164) example: Throttle: 530 | Pitch: -6.74
I (12174) example: Throttle: 530 | Pitch: -6.24
I (12184) example: Throttle: 530 | Pitch: -7.09
I (12194) example: Throttle: 530 | Pitch: -6.45
I (12204) example: Throttle: 530 | Pitch: -6.72
I (12214) example: Throttle: 540 | Pitch: -6.43
I (12224) example: Throttle: 540 | Pitch: -6.11
I (12234) example: Throttle: 540 | Pitch: -6.31
I (12244) example: Throttle: 540 | Pitch: -5.98
I (12254) example: Throttle: 540 | Pitch: -6.46
I (12264) example: Throttle: 540 | Pitch: -5.86
I (12274) example: Throttle: 540 | Pitch: -6.30
I (12284) example: Throttle: 540 | Pitch: -5.90
I (12294) example: Throttle: 540 | Pitch: -6.06
I (12304) example: Throttle: 540 | Pitch: -5.97
I (12314) example: Throttle: 540 | Pitch: -5.96
I (12324) example: Throttle: 540 | Pitch: -6.36
I (12334) example: Throttle: 540 | Pitch: -5.94
I (12344) example: Throttle: 540 | Pitch: -6.19
I (12354) example: Throttle: 540 | Pitch: -5.58
I (12364) example: Throttle: 540 | Pitch: -6.22
I (12374) example: Throttle: 540 | Pitch: -5.45
I (12384) example: Throttle: 540 | Pitch: -5.83
I (12394) example: Throttle: 540 | Pitch: -5.67
I (12404) example: Throttle: 540 | Pitch: -6.07
I (12414) example: Throttle: 550 | Pitch: -5.71
I (12424) example: Throttle: 550 | Pitch: -5.73
I (12434) example: Throttle: 550 | Pitch: -5.98
I (12444) example: Throttle: 550 | Pitch: -4.96
I (12454) example: Throttle: 550 | Pitch: -5.47
I (12464) example: Throttle: 550 | Pitch: -4.47
I (12474) example: Throttle: 550 | Pitch: -4.84
I (12484) example: Throttle: 550 | Pitch: -4.14
I (12494) example: Throttle: 550 | Pitch: -4.72
I (12504) example: Throttle: 550 | Pitch: -3.83
I (12514) example: Throttle: 550 | Pitch: -4.56
I (12524) example: Throttle: 550 | Pitch: -4.38
I (12534) example: Throttle: 550 | Pitch: -5.06
I (12544) example: Throttle: 550 | Pitch: -4.60
I (12554) example: Throttle: 550 | Pitch: -5.31
I (12564) example: Throttle: 550 | Pitch: -4.73
I (12574) example: Throttle: 550 | Pitch: -5.55
I (12584) example: Throttle: 550 | Pitch: -5.11
I (12594) example: Throttle: 550 | Pitch: -5.65
I (12604) example: Throttle: 550 | Pitch: -5.30
I (12614) example: Throttle: 560 | Pitch: -5.81
I (12624) example: Throttle: 560 | Pitch: -5.50
I (12634) example: Throttle: 560 | Pitch: -5.67
I (12644) example: Throttle: 560 | Pitch: -5.66
I (12654) example: Throttle: 560 | Pitch: -5.74
I (12664) example: Throttle: 560 | Pitch: -5.72
I (12674) example: Throttle: 560 | Pitch: -5.77
I (12684) example: Throttle: 560 | Pitch: -5.72
I (12694) example: Throttle: 560 | Pitch: -5.77
I (12704) example: Throttle: 560 | Pitch: -5.59
I (12714) example: Throttle: 560 | Pitch: -5.78
I (12724) example: Throttle: 560 | Pitch: -5.74
I (12734) example: Throttle: 560 | Pitch: -5.82
I (12744) example: Throttle: 560 | Pitch: -5.80
I (12754) example: Throttle: 560 | Pitch: -5.78
I (12764) example: Throttle: 560 | Pitch: -5.65
I (12774) example: Throttle: 560 | Pitch: -5.73
I (12784) example: Throttle: 560 | Pitch: -5.45
I (12794) example: Throttle: 560 | Pitch: -6.48
I (12804) example: Throttle: 560 | Pitch: -6.18
I (12814) example: Throttle: 570 | Pitch: -6.61
I (12824) example: Throttle: 570 | Pitch: -6.47
I (12834) example: Throttle: 570 | Pitch: -6.60
I (12844) example: Throttle: 570 | Pitch: -6.33
I (12854) example: Throttle: 570 | Pitch: -6.75
I (12864) example: Throttle: 570 | Pitch: -6.36
I (12874) example: Throttle: 570 | Pitch: -7.29
I (12884) example: Throttle: 570 | Pitch: -6.32
I (12894) example: Throttle: 570 | Pitch: -7.05
I (12904) example: Throttle: 570 | Pitch: -5.71
I (12914) example: Throttle: 570 | Pitch: -6.28
I (12924) example: Throttle: 570 | Pitch: -5.28
I (12934) example: Throttle: 570 | Pitch: -5.95
I (12944) example: Throttle: 570 | Pitch: -5.21
I (12954) example: Throttle: 570 | Pitch: -5.67
I (12964) example: Throttle: 570 | Pitch: -5.15
I (12974) example: Throttle: 570 | Pitch: -5.71
I (12984) example: Throttle: 570 | Pitch: -5.42
I (12994) example: Throttle: 570 | Pitch: -5.62
I (13004) example: Throttle: 570 | Pitch: -5.27
I (13014) example: Throttle: 580 | Pitch: -5.34
I (13024) example: Throttle: 580 | Pitch: -4.80
I (13034) example: Throttle: 580 | Pitch: -4.58
I (13044) example: Throttle: 580 | Pitch: -4.60
I (13054) example: Throttle: 580 | Pitch: -4.18
I (13064) example: Throttle: 580 | Pitch: -4.81
I (13074) example: Throttle: 580 | Pitch: -3.77
I (13084) example: Throttle: 580 | Pitch: -4.73
I (13094) example: Throttle: 580 | Pitch: -3.93
I (13104) example: Throttle: 580 | Pitch: -4.62
I (13114) example: Throttle: 580 | Pitch: -3.97
I (13124) example: Throttle: 580 | Pitch: -4.34
I (13134) example: Throttle: 580 | Pitch: -3.70
I (13144) example: Throttle: 580 | Pitch: -3.62
I (13154) example: Throttle: 580 | Pitch: -4.35
I (13164) example: Throttle: 580 | Pitch: -3.49
I (13174) example: Throttle: 580 | Pitch: -4.41
I (13184) example: Throttle: 580 | Pitch: -3.88
I (13194) example: Throttle: 580 | Pitch: -4.19
I (13204) example: Throttle: 580 | Pitch: -3.63
I (13214) example: Throttle: 590 | Pitch: -3.80
I (13224) example: Throttle: 590 | Pitch: -3.75
I (13234) example: Throttle: 590 | Pitch: -3.43
I (13244) example: Throttle: 590 | Pitch: -4.56
I (13254) example: Throttle: 590 | Pitch: -3.57
I (13264) example: Throttle: 590 | Pitch: -4.46
I (13274) example: Throttle: 590 | Pitch: -3.66
I (13284) example: Throttle: 590 | Pitch: -4.11
I (13294) example: Throttle: 590 | Pitch: -3.14
I (13304) example: Throttle: 590 | Pitch: -3.05
I (13314) example: Throttle: 590 | Pitch: -3.48
I (13324) example: Throttle: 590 | Pitch: -2.79
I (13334) example: Throttle: 590 | Pitch: -4.04
I (13344) example: Throttle: 590 | Pitch: -3.28
I (13354) example: Throttle: 590 | Pitch: -3.91
I (13364) example: Throttle: 590 | Pitch: -3.14
I (13374) example: Throttle: 590 | Pitch: -3.47
I (13384) example: Throttle: 590 | Pitch: -3.74
I (13394) example: Throttle: 590 | Pitch: -3.40
I (13404) example: Throttle: 590 | Pitch: -4.18
I (13414) example: Throttle: 600 | Pitch: -3.64
I (13424) example: Throttle: 600 | Pitch: -4.93
I (13434) example: Throttle: 600 | Pitch: -4.31
I (13444) example: Throttle: 600 | Pitch: -4.92
I (13454) example: Throttle: 600 | Pitch: -4.79
I (13464) example: Throttle: 600 | Pitch: -4.26
I (13474) example: Throttle: 600 | Pitch: -5.47
I (13484) example: Throttle: 600 | Pitch: -4.71
I (13494) example: Throttle: 600 | Pitch: -5.17
I (13504) example: Throttle: 600 | Pitch: -4.76
I (13514) example: Throttle: 600 | Pitch: -4.77
I (13524) example: Throttle: 600 | Pitch: -5.26
I (13534) example: Throttle: 600 | Pitch: -4.69
I (13544) example: Throttle: 600 | Pitch: -5.44
I (13554) example: Throttle: 600 | Pitch: -4.94
I (13564) example: Throttle: 600 | Pitch: -4.97
I (13574) example: Throttle: 600 | Pitch: -5.43
I (13584) example: Throttle: 600 | Pitch: -4.93
I (13594) example: Throttle: 600 | Pitch: -5.41
I (13604) example: Throttle: 600 | Pitch: -4.98
I (13614) example: Throttle: 610 | Pitch: -5.30
I (13624) example: Throttle: 610 | Pitch: -5.65
I (13634) example: Throttle: 610 | Pitch: -5.24
I (13644) example: Throttle: 610 | Pitch: -5.72
I (13654) example: Throttle: 610 | Pitch: -5.49
I (13664) example: Throttle: 610 | Pitch: -5.40
I (13674) example: Throttle: 610 | Pitch: -6.26
I (13684) example: Throttle: 610 | Pitch: -5.61
I (13694) example: Throttle: 610 | Pitch: -5.98
I (13704) example: Throttle: 610 | Pitch: -5.90
I (13714) example: Throttle: 610 | Pitch: -5.53
I (13724) example: Throttle: 610 | Pitch: -6.72
I (13734) example: Throttle: 610 | Pitch: -6.25
I (13744) example: Throttle: 610 | Pitch: -6.53
I (13754) example: Throttle: 610 | Pitch: -6.57
I (13764) example: Throttle: 610 | Pitch: -6.08
I (13774) example: Throttle: 610 | Pitch: -6.56
I (13784) example: Throttle: 610 | Pitch: -6.69
I (13794) example: Throttle: 610 | Pitch: -6.22
I (13804) example: Throttle: 610 | Pitch: -6.80
I (13814) example: Throttle: 620 | Pitch: -6.49
I (13824) example: Throttle: 620 | Pitch: -6.45
I (13834) example: Throttle: 620 | Pitch: -7.26
I (13844) example: Throttle: 620 | Pitch: -6.65
I (13854) example: Throttle: 620 | Pitch: -7.00
I (13864) example: Throttle: 620 | Pitch: -6.77
I (13874) example: Throttle: 620 | Pitch: -6.44
I (13884) example: Throttle: 620 | Pitch: -6.72
I (13894) example: Throttle: 620 | Pitch: -6.53
I (13904) example: Throttle: 620 | Pitch: -6.34
I (13914) example: Throttle: 620 | Pitch: -7.27
I (13924) example: Throttle: 620 | Pitch: -6.89
I (13934) example: Throttle: 620 | Pitch: -6.90
I (13944) example: Throttle: 620 | Pitch: -7.29
I (13954) example: Throttle: 620 | Pitch: -6.85
I (13964) example: Throttle: 620 | Pitch: -7.17
I (13974) example: Throttle: 620 | Pitch: -7.18
I (13984) example: Throttle: 620 | Pitch: -6.69
I (13994) example: Throttle: 620 | Pitch: -7.47
I (14004) example: Throttle: 620 | Pitch: -7.42
I (14014) example: Throttle: 630 | Pitch: -7.11
I (14024) example: Throttle: 630 | Pitch: -7.58
I (14034) example: Throttle: 630 | Pitch: -7.12
I (14044) example: Throttle: 630 | Pitch: -6.99
I (14054) example: Throttle: 630 | Pitch: -7.12
I (14064) example: Throttle: 630 | Pitch: -6.92
I (14074) example: Throttle: 630 | Pitch: -6.73
I (14084) example: Throttle: 630 | Pitch: -7.00
I (14094) example: Throttle: 630 | Pitch: -6.63
I (14104) example: Throttle: 630 | Pitch: -6.57
I (14114) example: Throttle: 630 | Pitch: -7.07
I (14124) example: Throttle: 630 | Pitch: -6.62
I (14134) example: Throttle: 630 | Pitch: -6.92
I (14144) example: Throttle: 630 | Pitch: -6.89
I (14154) example: Throttle: 630 | Pitch: -6.55
I (14164) example: Throttle: 630 | Pitch: -6.39
I (14174) example: Throttle: 630 | Pitch: -6.39
I (14184) example: Throttle: 630 | Pitch: -5.94
I (14194) example: Throttle: 630 | Pitch: -5.87
I (14204) example: Throttle: 630 | Pitch: -5.81
I (14214) example: Throttle: 640 | Pitch: -5.31
I (14224) example: Throttle: 640 | Pitch: -5.04
I (14234) example: Throttle: 640 | Pitch: -4.89
I (14244) example: Throttle: 640 | Pitch: -4.47
I (14254) example: Throttle: 640 | Pitch: -4.29
I (14264) example: Throttle: 640 | Pitch: -4.42
I (14274) example: Throttle: 640 | Pitch: -3.98
I (14284) example: Throttle: 640 | Pitch: -3.74
I (14294) example: Throttle: 640 | Pitch: -3.67
I (14304) example: Throttle: 640 | Pitch: -3.29
I (14314) example: Throttle: 640 | Pitch: -2.81
I (14324) example: Throttle: 640 | Pitch: -2.92
I (14334) example: Throttle: 640 | Pitch: -2.61
I (14344) example: Throttle: 640 | Pitch: -2.10
I (14354) example: Throttle: 640 | Pitch: -2.04
I (14364) example: Throttle: 640 | Pitch: -1.76
I (14374) example: Throttle: 640 | Pitch: -1.14
I (14384) example: Throttle: 640 | Pitch: -0.65
I (14394) example: Throttle: 640 | Pitch: -0.76
I (14404) example: Throttle: 640 | Pitch: -0.07
I (14414) example: Throttle: 640 | Pitch: 0.37
I (14424) example: Throttle: 640 | Pitch: 0.02
I (14434) example: Throttle: 640 | Pitch: 0.65
I (14444) example: Throttle: 640 | Pitch: 1.19
I (14454) example: Throttle: 640 | Pitch: 1.05
I (14464) example: Throttle: 640 | Pitch: 1.59
I (14474) example: Throttle: 640 | Pitch: 2.38
I (14484) example: Throttle: 640 | Pitch: 2.94
I (14494) example: Throttle: 640 | Pitch: 3.29
I (14504) example: Throttle: 640 | Pitch: 4.31
I (14514) example: Throttle: 640 | Pitch: 4.83
I (14524) example: Throttle: 640 | Pitch: 5.48
I (14534) example: Throttle: 640 | Pitch: 6.66
I (14544) example: Throttle: 640 | Pitch: 7.31
I (14554) example: Throttle: 640 | Pitch: 8.22
I (14564) example: Throttle: 640 | Pitch: 9.64
I (14574) example: Throttle: 640 | Pitch: 9.93
I (14584) example: Throttle: 640 | Pitch: 10.63
I (14594) example: Throttle: 640 | Pitch: 12.28
I (14604) example: Throttle: 640 | Pitch: 12.53
I (14614) example: Throttle: 640 | Pitch: 13.39
I (14624) example: Throttle: 640 | Pitch: 14.88
I (14634) example: Throttle: 640 | Pitch: 15.61
I (14644) example: Throttle: 640 | Pitch: 17.06
I (14654) example: Throttle: 640 | Pitch: 18.58
I (14664) example: Throttle: 640 | Pitch: 19.59
I (14674) example: Throttle: 640 | Pitch: 20.73
I (14684) example: Throttle: 640 | Pitch: 22.05
I (14694) example: Throttle: 640 | Pitch: 23.29
I (14704) example: Throttle: 640 | Pitch: 23.71
I (14714) example: Throttle: 640 | Pitch: 24.90
I (14724) example: Throttle: 640 | Pitch: 27.07
I (14734) example: Throttle: 640 | Pitch: 27.83
I (14744) example: Throttle: 640 | Pitch: 28.92
I (14754) example: Throttle: 640 | Pitch: 30.94
I (14764) example: Throttle: 640 | Pitch: 32.34
I (14774) example: Throttle: 640 | Pitch: 33.53
I (14784) example: Throttle: 640 | Pitch: 35.97
I (14794) example: Throttle: 640 | Pitch: 37.94
I (14804) example: Throttle: 640 | Pitch: 39.21
I (14814) example: Throttle: 640 | Pitch: 41.22
I (14824) example: Throttle: 640 | Pitch: 43.40
I (14834) example: Throttle: 640 | Pitch: 44.99
I (14844) example: Throttle: 640 | Pitch: 46.94
I (14854) example: Throttle: 640 | Pitch: 49.48
I (14864) example: Throttle: 640 | Pitch: 50.62
I (14874) example: Throttle: 640 | Pitch: 50.02
I (14884) example: Throttle: 640 | Pitch: 48.50
